key	ASM167680v1_TraditionalKoreanKimichi	ASM211732v1_BrewerySurface	ASM211734v1_WheatBeer	ASM276217v1_FemaleGut	ASM3988027v1_TenebrioMolitorFeces	ASM5041081v1_TomatoeFruit	ASM622820v1_BeerKeg	ASM622828v1_Beer	LBPURC4201_assembly_Sourdough	Reference_45709_F01
ASM167680v1_TraditionalKoreanKimichi	1.0	0.9687034803224278	0.9888302624555161	0.9897252884615384	0.988993132635253	0.9890763012477719	0.9903551925630811	0.987890326887661	0.9895483501979765	0.9887798297686599
ASM211732v1_BrewerySurface	0.9679115607210625	1.0	0.9678335454545455	0.9674241811356171	0.968479746309963	0.9680106697892272	0.9688717940354147	0.9682368043172218	0.9683931773514273	0.9688943907064959
ASM211734v1_WheatBeer	0.9881782737306842	0.9673740715268224	1.0	0.9874528120950323	0.9862460877042132	0.9893360333761233	0.9878108457288568	0.9861155353272648	0.9873883087304934	0.9894257554275586
ASM276217v1_FemaleGut	0.9896380150125105	0.9679285936762624	0.9881731328429253	1.0	0.9867049256268594	0.9871702080566622	0.9883448232758621	0.988207078600636	0.9880528362698755	0.9885935757575759
ASM3988027v1_TenebrioMolitorFeces	0.9879262602326584	0.9684687505763024	0.9863926245704466	0.9869411144321093	1.0	0.9871110685663402	0.9966060584551149	0.9870242863574966	0.9960455996725338	0.9891291970486111
ASM5041081v1_TomatoeFruit	0.9893415412026726	0.9691722501184272	0.9898538316151203	0.9875715976858033	0.9877904219030521	1.0	0.9883452314606743	0.9880406718464352	0.9881650645879734	0.9898733616830796
ASM622820v1_BeerKeg	0.9899955072463769	0.9683972048530098	0.9880089400337838	0.988186604911676	0.9960498406040269	0.9874525922632281	1.0	0.9859458669623061	0.9965018346359524	0.989687308707124
ASM622828v1_Beer	0.9867971963470321	0.967776756630991	0.985787010178117	0.9872967026540711	0.9861338594931082	0.9871483099864438	0.9863153565140844	1.0	0.985891891651865	0.9882455097417308
LBPURC4201_assembly_Sourdough	0.9890997681539807	0.9683473292797006	0.9878114551607445	0.9874084621993128	0.9963364846980978	0.9875353076582559	0.9965677631578949	0.9869387669376694	1.0	0.9898318370044052
Reference_45709_F01	0.9889822925764193	0.9692473371374228	0.9896938533333334	0.9888036143536532	0.9896708038444736	0.9894086327077749	0.9900552684859154	0.9891188361478775	0.9898129978021978	1.0
