key	ASM167680v1_TraditionalKoreanKimichi	ASM211732v1_BrewerySurface	ASM211734v1_WheatBeer	ASM276217v1_FemaleGut	ASM3988027v1_TenebrioMolitorFeces	ASM5041081v1_TomatoeFruit	ASM622820v1_BeerKeg	ASM622828v1_Beer	LBPURC4201_assembly_Sourdough	Reference_45709_F01
ASM167680v1_TraditionalKoreanKimichi	1.0	0.8087174008569539	0.8853689392069681	0.9428257270441506	0.9027067923448425	0.8838746925688298	0.8911098213032609	0.8513743839438676	0.8954481215666888	0.9014507575219802
ASM211732v1_BrewerySurface	0.7734732518572291	1.0	0.8065459118322145	0.7811828975336347	0.7953706343903348	0.7835918675897141	0.7883679790469185	0.7795468486421997	0.7843436159980536	0.7753212853144147
ASM211734v1_WheatBeer	0.7785799501047367	0.7298550931296611	1.0	0.794312963020671	0.7974228145906523	0.8043674518171086	0.8067086812944081	0.788404976660684	0.8135684191298903	0.7775368352787762
ASM276217v1_FemaleGut	0.8659964677485887	0.7449291664963297	0.8320536773258034	1.0	0.8456762234103011	0.8127599571088897	0.8346475368486227	0.790579216922126	0.8374487209918404	0.8336376199973229
ASM3988027v1_TenebrioMolitorFeces	0.8477511735000102	0.7723959123430996	0.8481476716364948	0.8548768928318029	1.0	0.8192346892170584	0.8828941138783234	0.8070953910564312	0.8999404265256069	0.8438214357391107
ASM5041081v1_TomatoeFruit	0.8841330911456322	0.8098233425217651	0.9174127698993468	0.8830481900437	0.875828198583446	1.0	0.8739359830111433	0.8576236360627093	0.882253703513483	0.8803302982274198
ASM622820v1_BeerKeg	0.8392618821954853	0.7685055834051129	0.8692315092502816	0.8524531944377358	0.8847765372416891	0.8253391821116691	1.0	0.8228507486150712	0.9023282075461649	0.8379979487806641
ASM622828v1_Beer	0.7880588366218988	0.7529849857538362	0.8444724628771734	0.7995557420094072	0.8064805028261273	0.7954874306879444	0.8152652820811488	1.0	0.8079878994457269	0.796308569977833
LBPURC4201_assembly_Sourdough	0.842418080057311	0.7677321322887621	0.8683551659264398	0.8554220189307786	0.8990650066648151	0.8300374025717692	0.9033708211949443	0.811364794526798	1.0	0.8384097094155261
Reference_45709_F01	0.9224361843504167	0.8273703623585376	0.9073997671728712	0.9308873216889194	0.9232795290773637	0.9014901727472104	0.9158672506622108	0.8805870341944115	0.917481626717723	1.0
