key,P1190_Madre_SD_BE,P1191_Madre_SD_BE,P1194_Madre_SD_BE,P2182_Madre_SD_BE,P2183_Madre_SD_BE,P2185_Madre_SD_BE,P2186_Madre_SD_BE,P2187_Madre_SD_BE,P2799_SD_BE,P2800_SD_BE,P515_SD_Italy,P516_SD_Italy,P518_SD_Italy,P526_SD_Italy,P527_SD_Italy,P568_Madre_SD_BE,Reference,Type_strain
P1190_Madre_SD_BE,1.0,0.8935925678392741,0.8846479642350452,0.9925450132594044,0.9993922231021736,0.9842256315482344,0.9808835081014332,0.984629161292107,0.9997903844240592,0.9874989540394732,0.897481459514765,0.8851829759624202,0.8790027006734281,0.8817387668306023,0.8947901098595036,0.9146718459085386,0.9179570252672086,0.8700168809716263
P1191_Madre_SD_BE,0.9263043788845776,1.0,0.9077716348775734,0.9274850528244164,0.9269285224285654,0.9337350424383551,0.9362766108092604,0.9370766965876344,0.9272065463282476,0.924628798830288,0.9238927940794645,0.9125483181254304,0.973641195468606,0.9087367687212732,0.9221864447495824,0.9157068353177098,0.9339384415708796,0.9200688914937528
P1194_Madre_SD_BE,0.8793273351555215,0.8697441568924935,1.0,0.8767069829230039,0.8800028304710374,0.8842959455459779,0.8847817214320384,0.8876472111143539,0.8802243202696954,0.8765565189743075,0.8622688175150414,0.8512573407974395,0.8626026257191218,0.8517758107037647,0.8614100764862878,0.8678085320521505,0.8762331657595187,0.8592507925883553
P2182_Madre_SD_BE,0.9981546095790204,0.8961861829370115,0.8840737838716258,1.0,0.9987657395820216,0.9837840057727174,0.982529606954617,0.9847321097801366,0.9991493707989636,0.9945302077834643,0.9011682054259824,0.8864398838943472,0.8801087756643831,0.8843310211568205,0.8993671728281944,0.9136926314603688,0.916526467646173,0.8698499939048091
P2183_Madre_SD_BE,0.9989421623704736,0.8964443991960355,0.8869767172195042,0.9917566715756132,1.0,0.9842105515180304,0.9804253945697298,0.9845492211339404,0.9996902492497328,0.9865154333191354,0.9003591357585266,0.8878091640529796,0.8812155651470854,0.8841145204144685,0.8972715545524297,0.9151124150452244,0.916065413301901,0.8698364812607181
P2185_Madre_SD_BE,0.9804162330284854,0.8994243956486326,0.8846707066797269,0.9724055037173482,0.9803829713736156,1.0,0.9947223737621874,0.9996714716992696,0.9807957172074,0.9694224967940664,0.894656211518758,0.8802868486017811,0.8829583205356512,0.877196175304316,0.8914053780451279,0.9122401902751556,0.9230513755868828,0.8643178455900179
P2186_Madre_SD_BE,0.97641778590754,0.9011291105780412,0.8915149427769754,0.9720308349023744,0.9771338775368376,0.9961344205618216,1.0,0.999614183707519,0.9774198105949132,0.9682744725231672,0.8930841785984566,0.8777164131028591,0.883597095963454,0.8755078613588905,0.8912538543283943,0.9152812132513054,0.927254783262389,0.8681272230668601
P2187_Madre_SD_BE,0.9754017702205752,0.8979421096898313,0.886941185768154,0.9689955763082398,0.9765851500980968,0.9952155662007196,0.9925333562085734,1.0,0.9774012061469076,0.965361102149636,0.8919862677853843,0.8768047304707292,0.8814382010826594,0.8765430248493038,0.889678206214628,0.9153629356686432,0.9230160832672318,0.8648694296252765
P2799_SD_BE,0.9980423473812066,0.8917354519076135,0.8852325726001831,0.9909029879114633,0.9990672768082252,0.9832309065291022,0.9798312649926418,0.9839199747829548,1.0,0.987200293051818,0.8959295867660241,0.8822304611916333,0.8777571672147623,0.8807293235326107,0.8942832752683825,0.9150688924042516,0.9162088702617742,0.8709058793438013
P2800_SD_BE,0.9993651026973404,0.8959676007807617,0.8864640041093007,0.9993263353187128,0.9994333477007032,0.9848259816638189,0.983598488543618,0.9855070775367558,0.9999186457400984,1.0,0.897278602424834,0.8817613164152942,0.8811843218023641,0.8794953390136973,0.8953537981168048,0.9120099266017184,0.9164283245002668,0.8719169688784754
