query,genome,gene_cluster,gene_callers_id,subject,pident,alignment_length,evalue,bitscore,function
00000025|gene_cluster_GC_00002887|genome_name_P2711_SD_BE|gene_callers_id_1591,P2711_SD_BE,GC_00002887,1591,sp|P0ACN9|CYTR_ECO57,30.539,334.0,8.73e-40,145.0,sp|P0ACN9|CYTR_ECO57 HTH-type transcriptional repressor CytR OS=Escherichia coli O157:H7 OX=83334 GN=cytR PE=3 SV=1
00000061|gene_cluster_GC_00002763|genome_name_P2711_SD_BE|gene_callers_id_1764,P2711_SD_BE,GC_00002763,1764,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000065|gene_cluster_GC_00002603|genome_name_P2711_SD_BE|gene_callers_id_1971,P2711_SD_BE,GC_00002603,1971,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000080|gene_cluster_GC_00002730|genome_name_P2711_SD_BE|gene_callers_id_1989,P2711_SD_BE,GC_00002730,1989,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000084|gene_cluster_GC_00002967|genome_name_P2711_SD_BE|gene_callers_id_304,P2711_SD_BE,GC_00002967,304,sp|P28267|NOLR_RHIML,38.462,52.0,0.000215,43.5,sp|P28267|NOLR_RHIML Nodulation protein NolR OS=Rhizobium meliloti OX=382 GN=nolR PE=4 SV=1
00000123|gene_cluster_GC_00002705|genome_name_P2711_SD_BE|gene_callers_id_520,P2711_SD_BE,GC_00002705,520,sp|Q01336|YCR2_PSEVU,53.875,529.0,0.0,613.0,sp|Q01336|YCR2_PSEVU Uncharacterized family 31 glucosidase ORF2 (Fragment) OS=Pseudescherichia vulneris OX=566 PE=3 SV=1
00000147|gene_cluster_GC_00002819|genome_name_P2711_SD_BE|gene_callers_id_310,P2711_SD_BE,GC_00002819,310,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000191|gene_cluster_GC_00002859|genome_name_P2711_SD_BE|gene_callers_id_851,P2711_SD_BE,GC_00002859,851,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000202|gene_cluster_GC_00002957|genome_name_P2711_SD_BE|gene_callers_id_1290,P2711_SD_BE,GC_00002957,1290,sp|P0AA47|PLAP_ECOLI,31.929,451.0,4.49e-60,206.0,sp|P0AA47|PLAP_ECOLI Low-affinity putrescine importer PlaP OS=Escherichia coli (strain K12) OX=83333 GN=plaP PE=1 SV=1
00000234|gene_cluster_GC_00002954|genome_name_P2711_SD_BE|gene_callers_id_1304,P2711_SD_BE,GC_00002954,1304,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
