query,genome,gene_cluster,gene_callers_id,subject,pident,alignment_length,evalue,bitscore,function
00000017|gene_cluster_GC_00002650|genome_name_P2176_Unknown_BE|gene_callers_id_1545,P2176_Unknown_BE,GC_00002650,1545,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000020|gene_cluster_GC_00003056|genome_name_P2176_Unknown_BE|gene_callers_id_1546,P2176_Unknown_BE,GC_00003056,1546,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000022|gene_cluster_GC_00003114|genome_name_P2176_Unknown_BE|gene_callers_id_1831,P2176_Unknown_BE,GC_00003114,1831,sp|O52733|XYLT_LEVBR,45.733,457.0,2.7000000000000003e-129,385.0,sp|O52733|XYLT_LEVBR D-xylose transporter OS=Levilactobacillus brevis OX=1580 GN=xylT PE=1 SV=1
00000036|gene_cluster_GC_00002554|genome_name_P2176_Unknown_BE|gene_callers_id_1129,P2176_Unknown_BE,GC_00002554,1129,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000039|gene_cluster_GC_00002675|genome_name_P2176_Unknown_BE|gene_callers_id_1542,P2176_Unknown_BE,GC_00002675,1542,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000055|gene_cluster_GC_00003059|genome_name_P2176_Unknown_BE|gene_callers_id_1529,P2176_Unknown_BE,GC_00003059,1529,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000056|gene_cluster_GC_00003089|genome_name_P2176_Unknown_BE|gene_callers_id_1234,P2176_Unknown_BE,GC_00003089,1234,sp|P9WMX3|GLFT1_MYCTU,25.312,320.0,6e-19,89.0,sp|P9WMX3|GLFT1_MYCTU Galactofuranosyltransferase GlfT1 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=glfT1 PE=1 SV=1
00000067|gene_cluster_GC_00003052|genome_name_P2176_Unknown_BE|gene_callers_id_1790,P2176_Unknown_BE,GC_00003052,1790,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000074|gene_cluster_GC_00002635|genome_name_P2176_Unknown_BE|gene_callers_id_1796,P2176_Unknown_BE,GC_00002635,1796,sp|Q42588|SAT1_ARATH,31.034,145.0,1.95e-14,72.8,"sp|Q42588|SAT1_ARATH Serine acetyltransferase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SAT1 PE=1 SV=2"
00000092|gene_cluster_GC_00003027|genome_name_P2176_Unknown_BE|gene_callers_id_1557,P2176_Unknown_BE,GC_00003027,1557,sp|P9WJR3|MOAE1_MYCTU,47.059,34.0,0.001,38.5,sp|P9WJR3|MOAE1_MYCTU Molybdopterin synthase catalytic subunit 1 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=moaE1 PE=1 SV=1
00000096|gene_cluster_GC_00002609|genome_name_P2176_Unknown_BE|gene_callers_id_438,P2176_Unknown_BE,GC_00002609,438,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000101|gene_cluster_GC_00002938|genome_name_P2176_Unknown_BE|gene_callers_id_1538,P2176_Unknown_BE,GC_00002938,1538,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000103|gene_cluster_GC_00002676|genome_name_P2176_Unknown_BE|gene_callers_id_1793,P2176_Unknown_BE,GC_00002676,1793,sp|A0A0H2UR96|GLYG_STRPN,32.314,229.0,4.04e-26,108.0,sp|A0A0H2UR96|GLYG_STRPN Glycosyltransferase GlyG OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyG PE=1 SV=1
00000112|gene_cluster_GC_00002806|genome_name_P2176_Unknown_BE|gene_callers_id_1745,P2176_Unknown_BE,GC_00002806,1745,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000131|gene_cluster_GC_00002812|genome_name_P2176_Unknown_BE|gene_callers_id_1531,P2176_Unknown_BE,GC_00002812,1531,sp|Q57594|T1S1_METJA,28.431,408.0,1.4e-32,130.0,sp|Q57594|T1S1_METJA Type I restriction enzyme MjaVII specificity subunit OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ0130 PE=1 SV=3
00000140|gene_cluster_GC_00002696|genome_name_P2176_Unknown_BE|gene_callers_id_1233,P2176_Unknown_BE,GC_00002696,1233,sp|Q0P9C7|PGLJ_CAMJE,28.729,181.0,6.02e-15,78.6,"sp|Q0P9C7|PGLJ_CAMJE N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168) OX=192222 GN=pglJ PE=1 SV=1"
00000165|gene_cluster_GC_00002920|genome_name_P2176_Unknown_BE|gene_callers_id_1389,P2176_Unknown_BE,GC_00002920,1389,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000169|gene_cluster_GC_00002732|genome_name_P2176_Unknown_BE|gene_callers_id_1982,P2176_Unknown_BE,GC_00002732,1982,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000195|gene_cluster_GC_00003119|genome_name_P2176_Unknown_BE|gene_callers_id_1832,P2176_Unknown_BE,GC_00003119,1832,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000200|gene_cluster_GC_00002729|genome_name_P2176_Unknown_BE|gene_callers_id_1224,P2176_Unknown_BE,GC_00002729,1224,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
