query,genome,gene_cluster,gene_callers_id,subject,pident,alignment_length,evalue,bitscore,function
00000066|gene_cluster_GC_00002825|genome_name_P2052_Cocoa_CR|gene_callers_id_1781,P2052_Cocoa_CR,GC_00002825,1781,sp|C9X1G6|CAS1_NEIM8,32.971,276.0,7.570000000000001e-37,136.0,sp|C9X1G6|CAS1_NEIM8 CRISPR-associated endonuclease Cas1 OS=Neisseria meningitidis serogroup C (strain 8013) OX=604162 GN=cas1 PE=3 SV=1
00000132|gene_cluster_GC_00002556|genome_name_P2052_Cocoa_CR|gene_callers_id_696,P2052_Cocoa_CR,GC_00002556,696,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000137|gene_cluster_GC_00002951|genome_name_P2052_Cocoa_CR|gene_callers_id_1115,P2052_Cocoa_CR,GC_00002951,1115,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000149|gene_cluster_GC_00003139|genome_name_P2052_Cocoa_CR|gene_callers_id_643,P2052_Cocoa_CR,GC_00003139,643,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000184|gene_cluster_GC_00002875|genome_name_P2052_Cocoa_CR|gene_callers_id_1457,P2052_Cocoa_CR,GC_00002875,1457,sp|A0A0A7HGA1|CSM4_STRTR,41.883,308.0,4.1799999999999997e-69,222.0,sp|A0A0A7HGA1|CSM4_STRTR CRISPR system Cms protein Csm4 OS=Streptococcus thermophilus OX=1308 GN=csm4 PE=1 SV=1
00000193|gene_cluster_GC_00002833|genome_name_P2052_Cocoa_CR|gene_callers_id_1456,P2052_Cocoa_CR,GC_00002833,1456,sp|A0A0A7HIF0|CSM3_STRTR,62.1,219.0,5.65e-93,274.0,sp|A0A0A7HIF0|CSM3_STRTR CRISPR system Cms endoribonuclease Csm3 OS=Streptococcus thermophilus OX=1308 GN=csm3 PE=1 SV=1
00000246|gene_cluster_GC_00003025|genome_name_P2052_Cocoa_CR|gene_callers_id_1783,P2052_Cocoa_CR,GC_00003025,1783,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000284|gene_cluster_GC_00002625|genome_name_P2052_Cocoa_CR|gene_callers_id_1769,P2052_Cocoa_CR,GC_00002625,1769,sp|O33952|UDG8_ECOLX,61.8,411.0,0.0,521.0,sp|O33952|UDG8_ECOLX UDP-glucose 6-dehydrogenase OS=Escherichia coli OX=562 GN=ugd PE=3 SV=1
00000296|gene_cluster_GC_00002674|genome_name_P2052_Cocoa_CR|gene_callers_id_1114,P2052_Cocoa_CR,GC_00002674,1114,sp|P22639|Y2836_NOSS1,26.606,218.0,8.79e-12,67.0,sp|P22639|Y2836_NOSS1 Uncharacterized glycosyltransferase alr2836 OS=Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690 GN=alr2836 PE=3 SV=2
00000339|gene_cluster_GC_00002555|genome_name_P2052_Cocoa_CR|gene_callers_id_1851,P2052_Cocoa_CR,GC_00002555,1851,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000361|gene_cluster_GC_00002745|genome_name_P2052_Cocoa_CR|gene_callers_id_1564,P2052_Cocoa_CR,GC_00002745,1564,sp|P12364|T3MO_ECOLX,38.0,100.0,2.34e-09,57.0,sp|P12364|T3MO_ECOLX Type III restriction-modification enzyme EcoP15I Mod subunit OS=Escherichia coli OX=562 GN=mod PE=1 SV=2
00000377|gene_cluster_GC_00002683|genome_name_P2052_Cocoa_CR|gene_callers_id_1454,P2052_Cocoa_CR,GC_00002683,1454,sp|A0A0A7HFE1|CAS10_STRTR,38.668,781.0,0.0,542.0,sp|A0A0A7HFE1|CAS10_STRTR CRISPR system single-strand-specific deoxyribonuclease Cas10/Csm1 (subtype III-A) OS=Streptococcus thermophilus OX=1308 GN=cas10 PE=1 SV=1
00000392|gene_cluster_GC_00002876|genome_name_P2052_Cocoa_CR|gene_callers_id_1840,P2052_Cocoa_CR,GC_00002876,1840,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000399|gene_cluster_GC_00003063|genome_name_P2052_Cocoa_CR|gene_callers_id_1782,P2052_Cocoa_CR,GC_00003063,1782,sp|F0Q2T3|CAS2_PARA1,35.294,85.0,1.68e-12,61.6,sp|F0Q2T3|CAS2_PARA1 CRISPR-associated endoribonuclease Cas2 OS=Paracidovorax avenae (strain ATCC 19860 / DSM 7227 / CCUG 15838 / JCM 20985 / LMG 2117 / NCPPB 1011) OX=643561 GN=cas2 PE=3 SV=1
00000419|gene_cluster_GC_00002485|genome_name_P2052_Cocoa_CR|gene_callers_id_1460,P2052_Cocoa_CR,GC_00002485,1460,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000420|gene_cluster_GC_00002485|genome_name_P2052_Cocoa_CR|gene_callers_id_1459,P2052_Cocoa_CR,GC_00002485,1459,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000427|gene_cluster_GC_00002771|genome_name_P2052_Cocoa_CR|gene_callers_id_1565,P2052_Cocoa_CR,GC_00002771,1565,sp|P40814|T3MO_SALTY,38.182,330.0,2.7999999999999998e-61,214.0,sp|P40814|T3MO_SALTY Type III restriction-modification enzyme StyLTI Mod subunit OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=mod PE=1 SV=2
00000433|gene_cluster_GC_00002893|genome_name_P2052_Cocoa_CR|gene_callers_id_1787,P2052_Cocoa_CR,GC_00002893,1787,sp|P07369|CB2G_SOLLC,98.283,233.0,1.16e-170,473.0,"sp|P07369|CB2G_SOLLC Chlorophyll a-b binding protein 3C, chloroplastic OS=Solanum lycopersicum OX=4081 GN=CAB3C PE=3 SV=1"
00000453|gene_cluster_GC_00002646|genome_name_P2052_Cocoa_CR|gene_callers_id_1116,P2052_Cocoa_CR,GC_00002646,1116,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000457|gene_cluster_GC_00003035|genome_name_P2052_Cocoa_CR|gene_callers_id_1816,P2052_Cocoa_CR,GC_00003035,1816,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000467|gene_cluster_GC_00002952|genome_name_P2052_Cocoa_CR|gene_callers_id_1455,P2052_Cocoa_CR,GC_00002952,1455,sp|A0A0A7HIX1|CSM2_STRTR,41.803,122.0,2.18e-20,83.2,sp|A0A0A7HIX1|CSM2_STRTR CRISPR system Cms protein Csm2 OS=Streptococcus thermophilus OX=1308 GN=csm2 PE=1 SV=1
00000494|gene_cluster_GC_00003129|genome_name_P2052_Cocoa_CR|gene_callers_id_1682,P2052_Cocoa_CR,GC_00003129,1682,sp|O32236|RGHR_BACSU,45.714,35.0,0.001,38.5,sp|O32236|RGHR_BACSU HTH-type transcriptional repressor RghR OS=Bacillus subtilis (strain 168) OX=224308 GN=rghR PE=1 SV=1
00000498|gene_cluster_GC_00002512|genome_name_P2052_Cocoa_CR|gene_callers_id_1562,P2052_Cocoa_CR,GC_00002512,1562,sp|Q0P4U8|SMAL1_XENTR,26.316,228.0,4.09e-10,67.8,sp|Q0P4U8|SMAL1_XENTR SNF2 related chromatin remodeling annealing helicase 1 OS=Xenopus tropicalis OX=8364 GN=smarcal1 PE=2 SV=1
00000527|gene_cluster_GC_00002863|genome_name_P2052_Cocoa_CR|gene_callers_id_1837,P2052_Cocoa_CR,GC_00002863,1837,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000537|gene_cluster_GC_00002744|genome_name_P2052_Cocoa_CR|gene_callers_id_1566,P2052_Cocoa_CR,GC_00002744,1566,sp|Q5ZND2|T3RE_ECOLX,29.758,578.0,2.0700000000000002e-47,187.0,sp|Q5ZND2|T3RE_ECOLX Type III restriction-modification enzyme EcoP15I Res subunit OS=Escherichia coli OX=562 GN=res PE=1 SV=1
00000571|gene_cluster_GC_00002864|genome_name_P2052_Cocoa_CR|gene_callers_id_1458,P2052_Cocoa_CR,GC_00002864,1458,sp|A0A0A7HF79|CSM5_STRTR,45.048,313.0,1.2600000000000002e-72,230.0,sp|A0A0A7HF79|CSM5_STRTR CRISPR system Cms protein Csm5 OS=Streptococcus thermophilus OX=1308 GN=csm5 PE=1 SV=1
00000579|gene_cluster_GC_00002717|genome_name_P2052_Cocoa_CR|gene_callers_id_1563,P2052_Cocoa_CR,GC_00002717,1563,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000592|gene_cluster_GC_00002602|genome_name_P2052_Cocoa_CR|gene_callers_id_1895,P2052_Cocoa_CR,GC_00002602,1895,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000603|gene_cluster_GC_00003135|genome_name_P2052_Cocoa_CR|gene_callers_id_1113,P2052_Cocoa_CR,GC_00003135,1113,sp|P37783|RFBG_SHIFL,28.452,239.0,4.17e-10,63.2,sp|P37783|RFBG_SHIFL dTDP-rhamnosyl transferase RfbG OS=Shigella flexneri OX=623 GN=rfbG PE=3 SV=1
00000649|gene_cluster_GC_00002992|genome_name_P2052_Cocoa_CR|gene_callers_id_1117,P2052_Cocoa_CR,GC_00002992,1117,sp|P71057|EPSH_BACSU,26.087,253.0,1.67e-14,76.6,sp|P71057|EPSH_BACSU Putative glycosyltransferase EpsH OS=Bacillus subtilis (strain 168) OX=224308 GN=epsH PE=2 SV=1
