query,genome,gene_cluster,gene_callers_id,subject,pident,alignment_length,evalue,bitscore,function
00000094|gene_cluster_GC_00003091|genome_name_P363_Unknown_BE|gene_callers_id_1829,P363_Unknown_BE,GC_00003091,1829,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000157|gene_cluster_GC_00003014|genome_name_P363_Unknown_BE|gene_callers_id_795,P363_Unknown_BE,GC_00003014,795,sp|A0A0H2UR96|GLYG_STRPN,31.12,241.0,9.860000000000001e-26,105.0,sp|A0A0H2UR96|GLYG_STRPN Glycosyltransferase GlyG OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyG PE=1 SV=1
00000297|gene_cluster_GC_00003053|genome_name_P363_Unknown_BE|gene_callers_id_802,P363_Unknown_BE,GC_00003053,802,sp|P46915|COTSA_BACSU,27.419,248.0,2.23e-18,89.0,sp|P46915|COTSA_BACSU Spore coat protein SA OS=Bacillus subtilis (strain 168) OX=224308 GN=cotSA PE=1 SV=1
00000360|gene_cluster_GC_00002567|genome_name_P363_Unknown_BE|gene_callers_id_797,P363_Unknown_BE,GC_00002567,797,sp|P9WER1|BRAB_ANNTR,24.022,179.0,0.005,42.0,sp|P9WER1|BRAB_ANNTR O-glycosyltransferase braB OS=Annulohypoxylon truncatum OX=327061 GN=braB PE=1 SV=1
00000374|gene_cluster_GC_00002561|genome_name_P363_Unknown_BE|gene_callers_id_794,P363_Unknown_BE,GC_00002561,794,sp|Q5HLM5|TAGF_STAEQ,26.617,402.0,1.91e-37,147.0,sp|Q5HLM5|TAGF_STAEQ Teichoic acid poly(glycerol phosphate) polymerase OS=Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A) OX=176279 GN=tagF PE=1 SV=1
00000424|gene_cluster_GC_00002995|genome_name_P363_Unknown_BE|gene_callers_id_793,P363_Unknown_BE,GC_00002995,793,sp|Q2G2X2|TARD_STAA8,65.891,129.0,1.28e-57,178.0,sp|Q2G2X2|TARD_STAA8 Glycerol-3-phosphate cytidylyltransferase OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=tarD PE=1 SV=1
00000468|gene_cluster_GC_00002589|genome_name_P363_Unknown_BE|gene_callers_id_800,P363_Unknown_BE,GC_00002589,800,sp|P71059|EPSJ_BACSU,28.74,254.0,8.08e-22,97.4,sp|P71059|EPSJ_BACSU Uncharacterized glycosyltransferase EpsJ OS=Bacillus subtilis (strain 168) OX=224308 GN=epsJ PE=2 SV=1
00000492|gene_cluster_GC_00002621|genome_name_P363_Unknown_BE|gene_callers_id_1276,P363_Unknown_BE,GC_00002621,1276,sp|P71344|T1SI_HAEIN,28.689,366.0,1.95e-38,145.0,sp|P71344|T1SI_HAEIN Putative type I restriction enzyme specificity subunit S.HindORF215P OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=HI_0216 PE=3 SV=1
00000513|gene_cluster_GC_00003138|genome_name_P363_Unknown_BE|gene_callers_id_801,P363_Unknown_BE,GC_00003138,801,sp|Q8W2B8|SAT4_ARATH,42.857,98.0,6.13e-16,75.1,sp|Q8W2B8|SAT4_ARATH Serine acetyltransferase 4 OS=Arabidopsis thaliana OX=3702 GN=SAT4 PE=1 SV=1
00000515|gene_cluster_GC_00002688|genome_name_P363_Unknown_BE|gene_callers_id_623,P363_Unknown_BE,GC_00002688,623,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000526|gene_cluster_GC_00002774|genome_name_P363_Unknown_BE|gene_callers_id_796,P363_Unknown_BE,GC_00002774,796,sp|O32273|TUAB_BACSU,23.617,470.0,5.86e-29,122.0,sp|O32273|TUAB_BACSU Teichuronic acid biosynthesis protein TuaB OS=Bacillus subtilis (strain 168) OX=224308 GN=tuaB PE=2 SV=1
00000532|gene_cluster_GC_00002721|genome_name_P363_Unknown_BE|gene_callers_id_1842,P363_Unknown_BE,GC_00002721,1842,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000546|gene_cluster_GC_00002524|genome_name_P363_Unknown_BE|gene_callers_id_1279,P363_Unknown_BE,GC_00002524,1279,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000611|gene_cluster_GC_00002861|genome_name_P363_Unknown_BE|gene_callers_id_727,P363_Unknown_BE,GC_00002861,727,sp|O31647|YJDF_BACSU,29.197,137.0,4.45e-07,49.7,sp|O31647|YJDF_BACSU Uncharacterized protein YjdF OS=Bacillus subtilis (strain 168) OX=224308 GN=yjdF PE=2 SV=1
00000647|gene_cluster_GC_00003097|genome_name_P363_Unknown_BE|gene_callers_id_1282,P363_Unknown_BE,GC_00003097,1282,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000660|gene_cluster_GC_00002644|genome_name_P363_Unknown_BE|gene_callers_id_798,P363_Unknown_BE,GC_00002644,798,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
