query,genome,gene_cluster,gene_callers_id,subject,pident,alignment_length,evalue,bitscore,function
00000018|gene_cluster_GC_00002913|genome_name_P2764_Cocoa_VN|gene_callers_id_1878,P2764_Cocoa_VN,GC_00002913,1878,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000090|gene_cluster_GC_00002569|genome_name_P2764_Cocoa_VN|gene_callers_id_993,P2764_Cocoa_VN,GC_00002569,993,sp|P96629|INT_BACSU,35.565,239.0,5.47e-41,147.0,sp|P96629|INT_BACSU ICEBs1 integrase OS=Bacillus subtilis (strain 168) OX=224308 GN=int PE=3 SV=1
00000099|gene_cluster_GC_00002637|genome_name_P2764_Cocoa_VN|gene_callers_id_1585,P2764_Cocoa_VN,GC_00002637,1585,sp|Q58577|Y1178_METJA,32.927,164.0,7.14e-11,66.6,sp|Q58577|Y1178_METJA Uncharacterized glycosyltransferase MJ1178 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1178 PE=3 SV=1
00000102|gene_cluster_GC_00002856|genome_name_P2764_Cocoa_VN|gene_callers_id_1714,P2764_Cocoa_VN,GC_00002856,1714,sp|O08455|YHAN_BACSU,26.061,165.0,2.16e-08,62.0,sp|O08455|YHAN_BACSU Uncharacterized protein YhaN OS=Bacillus subtilis (strain 168) OX=224308 GN=yhaN PE=2 SV=1
00000104|gene_cluster_GC_00003073|genome_name_P2764_Cocoa_VN|gene_callers_id_1745,P2764_Cocoa_VN,GC_00003073,1745,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000120|gene_cluster_GC_00002989|genome_name_P2764_Cocoa_VN|gene_callers_id_1589,P2764_Cocoa_VN,GC_00002989,1589,sp|P32057|WCAI_ECOLI,24.709,429.0,5.42e-18,88.6,sp|P32057|WCAI_ECOLI Putative colanic acid biosynthesis glycosyl transferase WcaI OS=Escherichia coli (strain K12) OX=83333 GN=wcaI PE=4 SV=1
00000125|gene_cluster_GC_00002527|genome_name_P2764_Cocoa_VN|gene_callers_id_1656,P2764_Cocoa_VN,GC_00002527,1656,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000158|gene_cluster_GC_00002641|genome_name_P2764_Cocoa_VN|gene_callers_id_1708,P2764_Cocoa_VN,GC_00002641,1708,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000161|gene_cluster_GC_00002946|genome_name_P2764_Cocoa_VN|gene_callers_id_1813,P2764_Cocoa_VN,GC_00002946,1813,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000163|gene_cluster_GC_00003120|genome_name_P2764_Cocoa_VN|gene_callers_id_1853,P2764_Cocoa_VN,GC_00003120,1853,sp|P0AE71|MAZF_ECO57,40.244,82.0,1.83e-09,54.7,sp|P0AE71|MAZF_ECO57 Endoribonuclease MazF OS=Escherichia coli O157:H7 OX=83334 GN=mazF PE=3 SV=1
00000164|gene_cluster_GC_00002526|genome_name_P2764_Cocoa_VN|gene_callers_id_1588,P2764_Cocoa_VN,GC_00002526,1588,sp|Q8L2J6|CAPD_RICTY,60.234,342.0,1.4300000000000002e-144,415.0,sp|Q8L2J6|CAPD_RICTY UDP-glucose 4-epimerase OS=Rickettsia typhi (strain ATCC VR-144 / Wilmington) OX=257363 GN=capD PE=3 SV=1
00000188|gene_cluster_GC_00003040|genome_name_P2764_Cocoa_VN|gene_callers_id_1307,P2764_Cocoa_VN,GC_00003040,1307,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000201|gene_cluster_GC_00002922|genome_name_P2764_Cocoa_VN|gene_callers_id_992,P2764_Cocoa_VN,GC_00002922,992,sp|P96629|INT_BACSU,51.304,115.0,2.2099999999999998e-30,114.0,sp|P96629|INT_BACSU ICEBs1 integrase OS=Bacillus subtilis (strain 168) OX=224308 GN=int PE=3 SV=1
00000223|gene_cluster_GC_00003074|genome_name_P2764_Cocoa_VN|gene_callers_id_1492,P2764_Cocoa_VN,GC_00003074,1492,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000231|gene_cluster_GC_00002830|genome_name_P2764_Cocoa_VN|gene_callers_id_1583,P2764_Cocoa_VN,GC_00002830,1583,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
