query,genome,gene_cluster,gene_callers_id,subject,%pident,alignment_length,e-value,bitscore,function
00000001|gene_cluster_GC_00001570|genome_name_P1194_Madre_SD_BE|gene_callers_id_1027,P1194_Madre_SD_BE,GC_00001570,1027,sp|O27818|RMLC_METTH,46.703,182.0,2.4900000000000004e-56,179.0,"sp|O27818|RMLC_METTH dTDP-4-dehydrorhamnose 3,5-epimerase OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) OX=187420 GN=rmlC PE=1 SV=1"
00000002|gene_cluster_GC_00001557|genome_name_P1194_Madre_SD_BE|gene_callers_id_1233,P1194_Madre_SD_BE,GC_00001557,1233,sp|Q53WG9|CAS6_THET8,24.324,222.0,1.98e-10,61.6,sp|Q53WG9|CAS6_THET8 CRISPR-associated endoribonuclease Cse3 OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=cse3 PE=1 SV=1
00000005|gene_cluster_GC_00001582|genome_name_P1194_Madre_SD_BE|gene_callers_id_1030,P1194_Madre_SD_BE,GC_00001582,1030,sp|P39631|SPSK_BACSU,37.367,281.0,5.2100000000000004e-64,205.0,sp|P39631|SPSK_BACSU Spore coat polysaccharide biosynthesis protein SpsK OS=Bacillus subtilis (strain 168) OX=224308 GN=spsK PE=3 SV=3
00000006|gene_cluster_GC_00001496|genome_name_P1194_Madre_SD_BE|gene_callers_id_1245,P1194_Madre_SD_BE,GC_00001496,1245,sp|P54168|YPGQ_BACSU,33.333,192.0,2.7699999999999996e-23,95.1,sp|P54168|YPGQ_BACSU Uncharacterized protein YpgQ OS=Bacillus subtilis (strain 168) OX=224308 GN=ypgQ PE=4 SV=1
00000007|gene_cluster_GC_00001396|genome_name_P1194_Madre_SD_BE|gene_callers_id_586,P1194_Madre_SD_BE,GC_00001396,586,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000012|gene_cluster_GC_00001473|genome_name_P1194_Madre_SD_BE|gene_callers_id_1025,P1194_Madre_SD_BE,GC_00001473,1025,sp|A0A0H2URH7|GLYAT_STRPN,36.17,188.0,7.84e-27,114.0,sp|A0A0H2URH7|GLYAT_STRPN Glycosyltransferase GlyA OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyA PE=3 SV=1
00000017|gene_cluster_GC_00001517|genome_name_P1194_Madre_SD_BE|gene_callers_id_1346,P1194_Madre_SD_BE,GC_00001517,1346,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000018|gene_cluster_GC_00001405|genome_name_P1194_Madre_SD_BE|gene_callers_id_1153,P1194_Madre_SD_BE,GC_00001405,1153,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000020|gene_cluster_GC_00001398|genome_name_P1194_Madre_SD_BE|gene_callers_id_1228,P1194_Madre_SD_BE,GC_00001398,1228,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000031|gene_cluster_GC_00001549|genome_name_P1194_Madre_SD_BE|gene_callers_id_1148,P1194_Madre_SD_BE,GC_00001549,1148,sp|Q47163|T1MP_ECOLX,32.692,208.0,1.35e-29,117.0,sp|Q47163|T1MP_ECOLX Type I restriction enzyme EcoprrI methylase subunit OS=Escherichia coli OX=562 GN=hsdM PE=3 SV=1
00000033|gene_cluster_GC_00001489|genome_name_P1194_Madre_SD_BE|gene_callers_id_1230,P1194_Madre_SD_BE,GC_00001489,1230,sp|P39583|YWAC_BACSU,39.744,78.0,2.02e-09,54.7,sp|P39583|YWAC_BACSU GTP pyrophosphokinase YwaC OS=Bacillus subtilis (strain 168) OX=224308 GN=ywaC PE=1 SV=1
00000044|gene_cluster_GC_00001407|genome_name_P1194_Madre_SD_BE|gene_callers_id_1144,P1194_Madre_SD_BE,GC_00001407,1144,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000047|gene_cluster_GC_00001578|genome_name_P1194_Madre_SD_BE|gene_callers_id_12,P1194_Madre_SD_BE,GC_00001578,12,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000049|gene_cluster_GC_00001481|genome_name_P1194_Madre_SD_BE|gene_callers_id_1226,P1194_Madre_SD_BE,GC_00001481,1226,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000050|gene_cluster_GC_00001532|genome_name_P1194_Madre_SD_BE|gene_callers_id_1147,P1194_Madre_SD_BE,GC_00001532,1147,sp|Q5HK76|HSDR_STAEQ,32.323,891.0,8.26e-135,433.0,sp|Q5HK76|HSDR_STAEQ Type I restriction enzyme SepRPIP endonuclease subunit OS=Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A) OX=176279 GN=hsdR PE=3 SV=1
00000058|gene_cluster_GC_00001610|genome_name_P1194_Madre_SD_BE|gene_callers_id_977,P1194_Madre_SD_BE,GC_00001610,977,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000063|gene_cluster_GC_00001461|genome_name_P1194_Madre_SD_BE|gene_callers_id_11,P1194_Madre_SD_BE,GC_00001461,11,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000064|gene_cluster_GC_00001441|genome_name_P1194_Madre_SD_BE|gene_callers_id_1231,P1194_Madre_SD_BE,GC_00001441,1231,sp|P25524|CODA_ECOLI,56.566,396.0,1.12e-163,469.0,sp|P25524|CODA_ECOLI Cytosine deaminase OS=Escherichia coli (strain K12) OX=83333 GN=codA PE=1 SV=3
00000065|gene_cluster_GC_00001392|genome_name_P1194_Madre_SD_BE|gene_callers_id_9,P1194_Madre_SD_BE,GC_00001392,9,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000066|gene_cluster_GC_00001504|genome_name_P1194_Madre_SD_BE|gene_callers_id_1029,P1194_Madre_SD_BE,GC_00001504,1029,sp|P95780|RMLB_STRMU,74.118,340.0,0.0,543.0,"sp|P95780|RMLB_STRMU dTDP-glucose 4,6-dehydratase OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) OX=210007 GN=rmlB PE=1 SV=2"
00000071|gene_cluster_GC_00001516|genome_name_P1194_Madre_SD_BE|gene_callers_id_587,P1194_Madre_SD_BE,GC_00001516,587,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000072|gene_cluster_GC_00001575|genome_name_P1194_Madre_SD_BE|gene_callers_id_16,P1194_Madre_SD_BE,GC_00001575,16,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000073|gene_cluster_GC_00001443|genome_name_P1194_Madre_SD_BE|gene_callers_id_1023,P1194_Madre_SD_BE,GC_00001443,1023,sp|Q58464|Y1064_METJA,40.179,112.0,3.52e-16,77.0,sp|Q58464|Y1064_METJA Uncharacterized acetyltransferase MJ1064 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1064 PE=3 SV=1
00000075|gene_cluster_GC_00001457|genome_name_P1194_Madre_SD_BE|gene_callers_id_1246,P1194_Madre_SD_BE,GC_00001457,1246,sp|O35018|LMRB_BACSU,31.002,429.0,1.8200000000000001e-47,173.0,sp|O35018|LMRB_BACSU Lincomycin resistance protein LmrB OS=Bacillus subtilis (strain 168) OX=224308 GN=lmrB PE=3 SV=1
00000076|gene_cluster_GC_00001433|genome_name_P1194_Madre_SD_BE|gene_callers_id_19,P1194_Madre_SD_BE,GC_00001433,19,sp|P96629|INT_BACSU,24.74,384.0,4.99e-26,110.0,sp|P96629|INT_BACSU ICEBs1 integrase OS=Bacillus subtilis (strain 168) OX=224308 GN=int PE=3 SV=1
00000083|gene_cluster_GC_00001475|genome_name_P1194_Madre_SD_BE|gene_callers_id_790,P1194_Madre_SD_BE,GC_00001475,790,sp|Q60329|Y014_METJA,41.52,171.0,5.17e-36,127.0,sp|Q60329|Y014_METJA Uncharacterized protein MJ0014 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ0014 PE=1 SV=1
00000084|gene_cluster_GC_00001601|genome_name_P1194_Madre_SD_BE|gene_callers_id_1028,P1194_Madre_SD_BE,GC_00001601,1028,sp|P39862|CAPM_STAAU,27.734,256.0,2.29e-09,62.0,sp|P39862|CAPM_STAAU Capsular polysaccharide biosynthesis glycosyltransferase CapM OS=Staphylococcus aureus OX=1280 GN=capM PE=3 SV=1
00000088|gene_cluster_GC_00001592|genome_name_P1194_Madre_SD_BE|gene_callers_id_1143,P1194_Madre_SD_BE,GC_00001592,1143,sp|Q9ZUC1|AOR_ARATH,38.217,314.0,5.4599999999999995e-55,186.0,"sp|Q9ZUC1|AOR_ARATH NADPH-dependent alkenal/one oxidoreductase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AOR PE=1 SV=2"
00000093|gene_cluster_GC_00001518|genome_name_P1194_Madre_SD_BE|gene_callers_id_13,P1194_Madre_SD_BE,GC_00001518,13,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000095|gene_cluster_GC_00001425|genome_name_P1194_Madre_SD_BE|gene_callers_id_1222,P1194_Madre_SD_BE,GC_00001425,1222,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000096|gene_cluster_GC_00001455|genome_name_P1194_Madre_SD_BE|gene_callers_id_1154,P1194_Madre_SD_BE,GC_00001455,1154,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000097|gene_cluster_GC_00001420|genome_name_P1194_Madre_SD_BE|gene_callers_id_18,P1194_Madre_SD_BE,GC_00001420,18,sp|O31834|YOZG_BACSU,29.851,67.0,9.42e-06,46.2,sp|O31834|YOZG_BACSU Uncharacterized HTH-type transcriptional regulator YozG OS=Bacillus subtilis (strain 168) OX=224308 GN=yozG PE=4 SV=1
00000100|gene_cluster_GC_00001423|genome_name_P1194_Madre_SD_BE|gene_callers_id_1024,P1194_Madre_SD_BE,GC_00001423,1024,sp|D4GU63|AGL10_HALVD,27.5,240.0,4e-12,68.9,sp|D4GU63|AGL10_HALVD Low-salt glycan biosynthesis hexosyltransferase Agl10 OS=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) OX=309800 GN=agl10 PE=3 SV=1
00000105|gene_cluster_GC_00001604|genome_name_P1194_Madre_SD_BE|gene_callers_id_6,P1194_Madre_SD_BE,GC_00001604,6,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000106|gene_cluster_GC_00001509|genome_name_P1194_Madre_SD_BE|gene_callers_id_412,P1194_Madre_SD_BE,GC_00001509,412,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000114|gene_cluster_GC_00001418|genome_name_P1194_Madre_SD_BE|gene_callers_id_1243,P1194_Madre_SD_BE,GC_00001418,1243,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000121|gene_cluster_GC_00001616|genome_name_P1194_Madre_SD_BE|gene_callers_id_1329,P1194_Madre_SD_BE,GC_00001616,1329,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
