layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters
P1211_Sourdough_BE	3200753	0.44504527528366	100	1.40845070422535	3047	889.286839514276	0.951963491091003	0	2863
P2271_Sourdough_CN	3292446	0.443742737162584	100	1.40845070422535	3183	868.655042412818	0.966758452530429	89	2913
P2302_Sourdough_BE	3298638	0.443629764769581	100	1.40845070422535	3201	872.207122774133	0.970400510756258	8	2933
P2336_Sourdough_BE	3231974	0.444038844371892	100	1.40845070422535	3130	870.089137380192	0.968448384795175	46	2878
P2466_Sourdough_Lib	3219740	0.444631554100642	100	1.40845070422535	3042	892.663708086785	0.944796784833558	0	2858
P2468_Sourdough_Lib	3219636	0.444640325800805	100	1.40845070422535	3053	889.807075008189	0.948243838744504	0	2863
P2474_Sourdough_Lib	3214001	0.444776775116125	100	1.40845070422535	3045	891.257142857143	0.947417253448272	0	2860
P2505_Sourdough_Lib	3376425	0.442080603004657	100	1.40845070422535	3470	818.205475504323	1.02771422436453	128	3000
P2506_Topinambur_IT	3253644	0.448071147304376	100	1.40845070422535	3202	857.355402873204	0.984127335381498	108	2875
P2538_Sourdough_Lib	3335497	0.44465637354793	100	1.40845070422535	3136	894.448660714286	0.940189722850898	51	2878
P2584_Sourdough_BE	3292250	0.443598147163794	100	1.40845070422535	3196	871.834167709637	0.970764674614625	2	2927
P2600_Strawberry_BE	3201422	0.44505910186161	100	1.40845070422535	3039	891.634748272458	0.949265670067864	0	2864
P2603_Strawberry_BE	3202006	0.445058191646112	100	1.40845070422535	3033	893.165182987141	0.947218712269746	0	2860
P2604_Strawberry_BE	3202007	0.445053680394827	100	1.40845070422535	3035	892.70313014827	0.947843024702944	0	2862
P2617_FreshMango_BE	3197134	0.445187158248606	100	1.40845070422535	3029	893.720699900957	0.947411024999265	0	2856
P2620_FreshMango_BE	3197204	0.445183353955519	100	1.40845070422535	3031	893.281425272187	0.948015828830441	0	2858
P2709_Sourdough_BE	3201448	0.445041118893701	100	1.40845070422535	3051	888.647000983284	0.953006264665239	0	2867
P2715_MarsSourdough_BE	3225549	0.444497665358672	100	1.40845070422535	3055	889.76170212766	0.947125590093345	0	2861
P2716_MarsSourdough_BE	3219868	0.444633755172572	100	1.40845070422535	3050	890.465901639344	0.9472438000564	0	2861
P2731_FreshMango_BE	3219850	0.444638414832989	100	1.40845070422535	3049	890.888816005248	0.946938521980838	0	2861
P2732_FreshMango_BE	3226348	0.444885362645319	100	1.40845070422535	3098	880.917366042608	0.960218798468113	0	2892
P2733_FreshMango_BE	3226376	0.444899478548068	100	1.40845070422535	3117	875.65062560154	0.966099425485436	0	2894
P2734_FreshMango_BE	3225538	0.44449763109286	100	1.40845070422535	3055	889.756792144026	0.947128820060405	0	2861
P2811_SweetCherry_BE	3265363	0.444581199701228	100	1.40845070422535	3133	882.185764443026	0.95946453732709	38	2927
P2813_SweetCherry_BE	3215646	0.444735521260736	100	1.40845070422535	3068	884.966753585398	0.954085120066077	25	2858
P2814_SweetCherry_BE	3291242	0.442947069829566	100	2.8169014084507	3210	860.330841121495	0.975315701488982	85	2938
P2827_FermentedMango_BE	3199772	0.445041084177248	100	1.40845070422535	3044	889.950394218134	0.951317781391924	0	2863
P2918_Fermented_IQF_Mango_BE	3236013	0.436275132392855	100	1.40845070422535	3127	864.167892548769	0.966312558076868	182	2867
P3181_GREEN_Injera_BE	2584792	0.449444287973655	100	2.8169014084507	2550	850.328235294118	0.986539729308973	4	2366
P3181_WHITE_Injera_BE	2586539	0.449421408298889	100	2.8169014084507	2551	850.257154057232	0.986260017730257	0	2361
P331_Cacoa_CR	3321333	0.443664637059879	100	2.8169014084507	3213	874.142857142857	0.967382674365985	65	2950
P3336_GreenBanana_BE	3224058	0.444915072867796	100	1.40845070422535	3115	875.273836276083	0.966173685460994	2	2891
P3337_BambaraGroudhut_BE	3279644	0.443062417750219	100	1.40845070422535	3264	843.579963235294	0.995229970082119	120	2908
P3338_BambaraGroudhut_BE	3012425	0.452440807654962	100	1.40845070422535	2874	885.598121085595	0.954048648514071	50	2701
P3340_RedCowpea_BE	2993737	0.451937160812723	100	1.40845070422535	2830	892.996113074205	0.945306818868859	14	2661
P3341_WhiteCowpea_BE	3227069	0.444877069563743	100	1.40845070422535	3112	876.945694087404	0.964342565963108	0	2892
P3342_SorghumSeso_BE	3209379	0.450040334905912	100	1.40845070422535	3031	892.316397228637	0.944419465572623	102	2856
P840_1_Sourdough_BE	3200615	0.445045405336162	100	1.40845070422535	3047	889.295700689202	0.952004536628117	0	2863
P840_2_Sourdough_BE	3200685	0.445044732611925	100	1.40845070422535	3047	889.339021988842	0.951983715985797	0	2863
P840_Sourdough_BE	3200572	0.445045448126147	100	1.40845070422535	3048	889.031496062992	0.952329771053424	0	2864
Reference_reformatted	3223643	0.446003481154706	100	1.40845070422535	2974	911.703429724277	0.922558732465102	35	2787
Type_Strain_reformatted	3250154	0.445004452096731	100	1.40845070422535	3045	894.728078817734	0.936878683287007	17	2843
