layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters
P187_SD_IT	2040542	0.517667364847183	98.5915492957746	4.22535211267606	2110	836.876303317536	1.03403899552178	1	1892
P2020_Cocoa_CR	1911306	0.523086308524119	98.5915492957746	1.40845070422535	1973	844.932589964521	1.03227845253455	28	1792
P2024_Cocoa_CR	1836992	0.525460099989548	100.0	1.40845070422535	1899	841.39336492891	1.03375518238512	9	1734
P2029_Cocoa_CR	1864042	0.52514428322967	98.5915492957746	1.40845070422535	1924	845.385654885655	1.03216558425186	17	1761
P2052_Cocoa_CR	1842818	0.525134874957809	98.5915492957746	1.40845070422535	1896	846.46835443038	1.02885906258784	29	1740
P2176_Unknown_BE	1922849	0.520348191667676	98.5915492957746	2.8169014084507	1994	829.254764292879	1.03700290558437	54	1776
P240_SD_IT	2038906	0.51770017842902	98.5915492957746	4.22535211267606	2111	835.993841781146	1.03535915829371	2	1891
P2711_SD_BE	2093134	0.517403568046766	98.5915492957746	4.22535211267606	2015	884.03523573201	0.962671286214834	27	1822
P2712_SD_BE	2113973	0.516033080838781	98.5915492957746	1.40845070422535	2035	889.111547911548	0.962642380011476	61	1815
P2740_Qu_CN	1873029	0.523143528477135	98.5915492957746	1.40845070422535	1956	828.926380368098	1.04429776581142	56	1748
P2746_Cocoa_VN	1889994	0.524390024518596	98.5915492957746	1.40845070422535	1940	846.553608247423	1.02645828505276	19	1777
P2763_Cocoa_VN	1807185	0.526956011697751	98.5915492957746	1.40845070422535	1845	855.930081300813	1.02092480847285	9	1715
P2764_Cocoa_VN	1896680	0.525166079676066	98.5915492957746	1.40845070422535	1974	838.904255319149	1.04076597001076	41	1762
P2809_Apricot_BE	1962802	0.520394823318908	100.0	4.22535211267606	2059	829.602719766877	1.04901054716675	0	1833
P3124_LMG_BE	1975526	0.518989879151173	98.5915492957746	1.40845070422535	2070	826.228985507246	1.04782220026464	127	1863
P3333_Amaranth_BE	1962961	0.52038935057803	100.0	4.22535211267606	2059	829.714910150558	1.04892557722746	1	1832
P3334_WhiteCowpea_BE	1967601	0.520184224342232	100.0	4.22535211267606	2023	845.039050914483	1.02815560675157	0	1823
P3335_RedCowpea_BE	1968277	0.52017017929895	100.0	4.22535211267606	2018	847.450941526264	1.02526219632704	0	1823
P3378_Banana_BE	1933140	0.524188625759128	98.5915492957746	1.40845070422535	1995	843.305263157895	1.03199975169931	52	1806
P360_Cocoa_CR	1859275	0.526039988705275	98.5915492957746	1.40845070422535	1930	841.391191709845	1.03803902058598	8	1754
P363_Unknown_BE	1843432	0.525049472939604	98.5915492957746	1.40845070422535	1884	851.735668789809	1.02200677866067	16	1732
P800_Unknown_BE	1932989	0.522097642562891	98.5915492957746	4.22535211267606	2003	839.432351472791	1.03621903694227	36	1821
P815_Cocoa_CR	1920990	0.521524838755017	98.5915492957746	2.8169014084507	1973	850.68930562595	1.02707458133567	65	1819
Reference	1905587	0.522977590505734	98.5915492957746	1.40845070422535	1849	884.579772850189	0.97030468826666	13	1674
